StartIndex	EndIndex	GO:ID	Term	OntologyTerm
39	41	GO:0065007	to	biological regulation
39	41	GO:0009987	to	cellular process
42	52	GO:0065007	hemostasis	biological regulation
42	52	GO:0032501	hemostasis	multicellular organismal process
322	324	GO:0065007	to	biological regulation
322	324	GO:0009987	to	cellular process
460	462	GO:0065007	to	biological regulation
460	462	GO:0009987	to	cellular process
487	498	GO:0065007	hemostasis	biological regulation
487	498	GO:0032501	hemostasis	multicellular organismal process
531	533	GO:0065007	to	biological regulation
531	533	GO:0009987	to	cellular process
558	568	GO:0065007	hemostasis	biological regulation
558	568	GO:0032501	hemostasis	multicellular organismal process
642	653	GO:0044464	chromosomes	cell part
642	653	GO:0044422	chromosomes	organelle part
642	653	GO:0043226	chromosomes	organelle
763	774	GO:0065007	hemostasis	biological regulation
763	774	GO:0032501	hemostasis	multicellular organismal process
858	860	GO:0065007	to	biological regulation
858	860	GO:0009987	to	cellular process
999	1010	GO:0065007	hemostasis	biological regulation
999	1010	GO:0032501	hemostasis	multicellular organismal process
1090	1100	GO:0043226	chromosome	organelle
1090	1100	GO:0044422	chromosome	organelle part
1090	1100	GO:0044464	chromosome	cell part
1127	1138	GO:0044464	chromosomes	cell part
1127	1138	GO:0044422	chromosomes	organelle part
1127	1138	GO:0043226	chromosomes	organelle
1192	1194	GO:0065007	to	biological regulation
1192	1194	GO:0009987	to	cellular process
1302	1304	GO:0065007	to	biological regulation
1302	1304	GO:0009987	to	cellular process
1439	1441	GO:0065007	to	biological regulation
1439	1441	GO:0009987	to	cellular process
1457	1468	GO:0032501	Coagulation	multicellular organismal process
1518	1526	GO:0044421	collagen	extraccellular region part
1579	1589	GO:0043226	chromosome	organelle
1579	1589	GO:0044422	chromosome	organelle part
1579	1589	GO:0044464	chromosome	cell part
1722	1724	GO:0065007	to	biological regulation
1722	1724	GO:0009987	to	cellular process
1756	1767	GO:0044464	chromosomes	cell part
1756	1767	GO:0044422	chromosomes	organelle part
1756	1767	GO:0043226	chromosomes	organelle
1805	1807	GO:0065007	to	biological regulation
1805	1807	GO:0009987	to	cellular process
1842	1852	GO:0043226	chromosome	organelle
1842	1852	GO:0044422	chromosome	organelle part
1842	1852	GO:0044464	chromosome	cell part
1942	1947	GO:0065007	to	biological regulation
