StartIndex	EndIndex	GO:ID	Term	OntologyTerm
15	22	GO:0003824	protein	catalytic activity
481	489	GO:0003824	proteins	catalytic activity
755	760	GO:0005623	cells	cell
870	882	GO:0043473	pigmentation	pigmentation
964	973	GO:0044464	membranes	cell part
995	1000	GO:0005623	cells	cell
995	1000	GO:0005623	cells	cell
1020	1025	GO:0005623	cells	cell
1177	1183	GO:0060089	type I	molecular transducer activity
1177	1183	GO:0003824	type I	catalytic activity
1207	1214	GO:0009987	reduced	cellular process
1207	1214	GO:0008152	reduced	metabolic process
1207	1214	GO:0005215	reduced	transporter activity
1207	1214	GO:0051234	reduced	establishment of localization
1303	1307	GO:0005623	cell	cell
1367	1372	GO:0005623	cells	cell
1466	1470	GO:0005623	cell	cell
1509	1514	GO:0005623	cells	cell
1555	1562	GO:0003824	protein	catalytic activity
1623	1631	GO:0044464	membrane	cell part
1632	1640	GO:0003824	proteins	catalytic activity
1658	1667	GO:0051234	secretion	establishment of localization
1766	1778	GO:0044464	gap junction	cell part
1857	1859	GO:0065007	to	biological regulation
1857	1859	GO:0009987	to	cellular process
1877	1884	GO:0003824	protein	catalytic activity
1955	1961	GO:0009987	direct	cellular process
1955	1961	GO:0008152	direct	metabolic process
2202	2209	GO:0003824	protein	catalytic activity
2324	2328	GO:0032502	head	developmental process
2463	2465	GO:0065007	to	biological regulation
2463	2465	GO:0009987	to	cellular process
2530	2532	GO:0065007	to	biological regulation
2530	2532	GO:0009987	to	cellular process
2535	2542	GO:0009987	reduced	cellular process
2535	2542	GO:0008152	reduced	metabolic process
2535	2542	GO:0005215	reduced	transporter activity
2535	2542	GO:0051234	reduced	establishment of localization
2551	2567	GO:0051234	iodide transport	establishment of localization
2558	2567	GO:0051234	transport	establishment of localization
2586	2594	GO:0044464	membrane	cell part
2623	2628	GO:0005623	cells	cell
2715	2717	GO:0065007	to	biological regulation
2715	2717	GO:0009987	to	cellular process
2817	2826	GO:0051234	transport	establishment of localization
3411	3418	GO:0003824	protein	catalytic activity
3626	3632	GO:0009987	direct	cellular process
3626	3632	GO:0008152	direct	metabolic process
3738	3746	GO:0003824	proteins	catalytic activity
3792	3799	GO:0032501	hearing	multicellular organismal process
3792	3799	GO:0050896	hearing	response to stimulus
3852	3858	GO:0009987	direct	cellular process
3852	3858	GO:0008152	direct	metabolic process
3931	3933	GO:0065007	to	biological regulation
3931	3933	GO:0009987	to	cellular process
3982	3990	GO:0044421	antibody	extraccellular region part
3982	3990	GO:0032991	antibody	macromolecular complex
4133	4135	GO:0065007	to	biological regulation
4133	4135	GO:0009987	to	cellular process
4632	4636	GO:0005623	cell	cell
4754	4766	GO:0043473	pigmentation	pigmentation
4881	4889	GO:0003824	proteins	catalytic activity
4955	4964	GO:0051234	transport	establishment of localization
5046	5055	GO:0051234	secretion	establishment of localization
5861	5871	GO:0044421	antibodies	extraccellular region part
5861	5871	GO:0032991	antibodies	macromolecular complex
6336	6346	GO:0044421	antibodies	extraccellular region part
6336	6346	GO:0032991	antibodies	macromolecular complex
6516	6531	GO:0044422	Actin filaments	organelle part
6516	6531	GO:0044464	Actin filaments	cell part
6516	6531	GO:0032991	Actin filaments	macromolecular complex
6873	6875	GO:0065007	to	biological regulation
6873	6875	GO:0009987	to	cellular process
6956	6968	GO:0043473	pigmentation	pigmentation
7036	7038	GO:0065007	to	biological regulation
7036	7038	GO:0009987	to	cellular process
7680	7689	GO:0032501	digestion	multicellular organismal process
7856	7858	GO:0065007	to	biological regulation
7856	7858	GO:0009987	to	cellular process
8450	8452	GO:0065007	to	biological regulation
8450	8452	GO:0009987	to	cellular process
8606	8608	GO:0065007	to	biological regulation
8606	8608	GO:0009987	to	cellular process
8957	8965	GO:0005488	Template	binding
9006	9008	GO:0065007	to	biological regulation
9006	9008	GO:0009987	to	cellular process
9273	9279	GO:0040007	growth	growth
9531	9533	GO:0065007	to	biological regulation
9531	9533	GO:0009987	to	cellular process
9589	9591	GO:0065007	to	biological regulation
9589	9591	GO:0009987	to	cellular process
9589	9591	GO:0065007	to	biological regulation
9589	9591	GO:0009987	to	cellular process
10768	10776	GO:0044464	membrane	cell part
11771	11776	GO:0005623	cells	cell
11879	11881	GO:0065007	To	biological regulation
11879	11881	GO:0009987	To	cellular process
11916	11923	GO:0003824	protein	catalytic activity
12072	12080	GO:0044421	antibody	extraccellular region part
12072	12080	GO:0032991	antibody	macromolecular complex
12123	12131	GO:0044421	antibody	extraccellular region part
12123	12131	GO:0032991	antibody	macromolecular complex
12272	12277	GO:0005623	cells	cell
12342	12347	GO:0005623	cells	cell
12359	12368	GO:0044464	membranes	cell part
12409	12414	GO:0005623	cells	cell
12429	12438	GO:0044464	membranes	cell part
12457	12462	GO:0005623	cells	cell
12457	12462	GO:0005623	cells	cell
12556	12561	GO:0005623	cells	cell
12643	12652	GO:0051234	transport	establishment of localization
12799	12804	GO:0005623	cells	cell
12884	12889	GO:0005623	cells	cell
12952	12961	GO:0051234	secretion	establishment of localization
12972	12974	GO:0065007	to	biological regulation
12972	12974	GO:0009987	to	cellular process
13108	13117	GO:0051234	secretion	establishment of localization
13141	13148	GO:0003824	Protein	catalytic activity
13141	13161	GO:0051179	Protein localization	localization
13149	13161	GO:0051179	localization	localization
13445	13453	GO:0044464	membrane	cell part
13474	13479	GO:0005623	cells	cell
13502	13507	GO:0005623	cells	cell
13582	13587	GO:0005623	cells	cell
13622	13627	GO:0005623	cells	cell
13638	13643	GO:0005623	cells	cell
13673	13678	GO:0005623	cells	cell
13701	13706	GO:0005623	cells	cell
13737	13742	GO:0005623	cells	cell
13765	13770	GO:0005623	cells	cell
13786	13791	GO:0005623	cells	cell
13839	13854	GO:0044464	tight junctions	cell part
13879	13884	GO:0005623	cells	cell
13939	13944	GO:0005623	cells	cell
14050	14055	GO:0005623	cells	cell
14069	14083	GO:0044464	tight junction	cell part
14084	14091	GO:0003824	protein	catalytic activity
14110	14115	GO:0005623	cells	cell
14258	14263	GO:0005623	cells	cell
14294	14299	GO:0005623	cells	cell
14329	14331	GO:0065007	to	biological regulation
14329	14331	GO:0009987	to	cellular process
14348	14353	GO:0005623	cells	cell
14416	14424	GO:0044464	membrane	cell part
14541	14546	GO:0005623	cells	cell
14649	14656	GO:0003824	protein	catalytic activity
14671	14679	GO:0044464	membrane	cell part
14707	14712	GO:0005623	cells	cell
14840	14842	GO:0065007	to	biological regulation
14840	14842	GO:0009987	to	cellular process
14867	14872	GO:0005623	cells	cell
14892	14894	GO:0065007	to	biological regulation
14892	14894	GO:0009987	to	cellular process
14913	14918	GO:0005623	cells	cell
14913	14918	GO:0005623	cells	cell
15033	15042	GO:0044464	membranes	cell part
15137	15139	GO:0065007	to	biological regulation
15137	15139	GO:0009987	to	cellular process
15143	15152	GO:0009987	embryonic	cellular process
15143	15152	GO:0065007	embryonic	biological regulation
15323	15325	GO:0065007	to	biological regulation
15323	15325	GO:0009987	to	cellular process
15429	15434	GO:0005623	cells	cell
15641	15646	GO:0005623	cells	cell
15770	15774	GO:0005623	cell	cell
15974	15981	GO:0032501	hearing	multicellular organismal process
15974	15981	GO:0050896	hearing	response to stimulus
16560	16562	GO:0065007	to	biological regulation
16560	16562	GO:0009987	to	cellular process
16717	16722	GO:0005623	cells	cell
16746	16748	GO:0065007	to	biological regulation
16746	16748	GO:0009987	to	cellular process
16829	16841	GO:0043473	pigmentation	pigmentation
17034	17036	GO:0065007	to	biological regulation
17034	17036	GO:0009987	to	cellular process
17081	17093	GO:0043473	Pigmentation	pigmentation
17194	17201	GO:0044464	capsule	cell part
17409	17421	GO:0043473	pigmentation	pigmentation
17595	17599	GO:0005623	cell	cell
17677	17682	GO:0005623	cells	cell
17709	17711	GO:0065007	to	biological regulation
17709	17711	GO:0009987	to	cellular process
17718	17723	GO:0005623	cells	cell
17745	17758	GO:0044464	gap junctions	cell part
17774	17779	GO:0005623	cells	cell
17842	17851	GO:0051234	transport	establishment of localization
17884	17886	GO:0065007	to	biological regulation
17884	17886	GO:0009987	to	cellular process
17971	17973	GO:0065007	To	biological regulation
17971	17973	GO:0009987	To	cellular process
18097	18102	GO:0005623	cells	cell
18165	18170	GO:0005623	cells	cell
18180	18182	GO:0065007	to	biological regulation
18180	18182	GO:0009987	to	cellular process
18180	18182	GO:0065007	to	biological regulation
18180	18182	GO:0009987	to	cellular process
18250	18255	GO:0005623	cells	cell
18301	18313	GO:0043473	pigmentation	pigmentation
18315	18327	GO:0043473	Pigmentation	pigmentation
18423	18428	GO:0005623	cells	cell
18457	18469	GO:0043473	pigmentation	pigmentation
18546	18548	GO:0065007	To	biological regulation
18546	18548	GO:0009987	To	cellular process
19512	19519	GO:0009987	reduced	cellular process
19512	19519	GO:0008152	reduced	metabolic process
19512	19519	GO:0005215	reduced	transporter activity
19512	19519	GO:0051234	reduced	establishment of localization
19603	19605	GO:0065007	to	biological regulation
19603	19605	GO:0009987	to	cellular process
19759	19764	GO:0005623	cells	cell
19858	19863	GO:0005623	cells	cell
20479	20481	GO:0065007	to	biological regulation
20479	20481	GO:0009987	to	cellular process
21389	21394	GO:0005623	cells	cell
21433	21440	GO:0003824	protein	catalytic activity
21433	21440	GO:0003824	protein	catalytic activity
21499	21501	GO:0065007	to	biological regulation
21499	21501	GO:0009987	to	cellular process
21764	21771	GO:0003824	Protein	catalytic activity
21764	21784	GO:0051179	Protein localization	localization
21772	21784	GO:0051179	localization	localization
21891	21893	GO:0065007	to	biological regulation
21891	21893	GO:0009987	to	cellular process
21902	21904	GO:0065007	to	biological regulation
21902	21904	GO:0009987	to	cellular process
21964	21972	GO:0044464	membrane	cell part
22166	22171	GO:0005623	cells	cell
22188	22196	GO:0044464	membrane	cell part
22418	22426	GO:0044464	membrane	cell part
22746	22751	GO:0005623	cells	cell
22862	22868	GO:0060089	type I	molecular transducer activity
22862	22868	GO:0003824	type I	catalytic activity
23114	23121	GO:0009987	reduced	cellular process
23114	23121	GO:0008152	reduced	metabolic process
23114	23121	GO:0005215	reduced	transporter activity
23114	23121	GO:0051234	reduced	establishment of localization
23294	23306	GO:0043473	pigmentation	pigmentation
23339	23354	GO:0044464	tight junctions	cell part
